-44.06667,169.35,Mount Wilson
-42.71667,171.85,Mount Wilson
-42.66667,173.38333,Mount Wilson
-40.06667,175.15,Mount Wilson
-44.7,168.18333,Lake Wilson
-45.51667,167.18333,Wilmot Pass
-45.51667,167.18333,Mount Wilmot
-44.41667,168.21667,Lake Wilmot
-42.41667,172.68333,Wilmers Stream
-44.05,169.38333,Wills River
-43.96667,169.63333,Wills Peak
-43.91667,169.61667,Wills Creek
-43.98333,171.68333,Willowby
-44.78333,171.11667,Willowbridge
-42.43333,172.76667,Williams Valley
-44.4,168.53333,Williamsons Flat
-44.38333,168.5,Williamson River
-50.56667,166.16667,Williamson Point
-44.41667,168.43333,Lake Williamson
-43.83333,169.88333,Mount Williams
-42.95,171.63333,Mount Williams
-47.26667,167.61667,William Point
-41.75,173.93333,The William
-46.85,168.08333,Port William
-41.76667,171.83333,Mount William
-40.16667,175.36667,Mount William
-41.96667,174.05,Willawa Point
-41.96667,174.05,Willawa
-43.13333,171,Wilkinson River
-42.76667,171.81667,Mount Wilkinson
-44.26667,169.18333,Wilkin River
-43.41667,171.05,Wild Mans Brother
-45.18333,169.96667,Wild Goat Creek
-45.75,169.23333,Wilden
-45.28333,170.28333,Wild Dog Creek
-43.66667,172.85,Wild Cattle Hill
-43.26667,170.6,Wilberg Range
-43.18333,170.63333,Wilberg Creek
-43.18333,170.6,Wilberg
-43.33333,171.43333,Wilberforce River
-43.55,172.55,Wigram
-40.7,176.31667,Wig
-41.21667,175.91667,Widows
-43.68333,169.95,Wicks Glacier
-44.75,167.9,Wick Mountains
-45.83333,170.73333,Wickliffe Bay
-43.5,170.36667,Whymper Saddle
-45.3,168.9,Whittens Creek
-45.06667,170.88333,Whitstone
-41.18333,172.81667,Whitlow
-39.05,175.83333,Whitikau Stream
-38.16667,177.46667,Whitikau Stream
-36.86667,175.7,Whitianga Harbour
-39.1,174.83333,Whitianga
-36.83333,175.7,Whitianga
-36.93333,174.96667,Whitford
-43.25,171.71667,Whitewater Stream
-45.63333,169,White Umbrella
-45.53333,167.75,Whitestone River
-45.08333,169.95,White Sow Creek
-42.43333,173.53333,Whites Gully
-43.3,172.03333,Whites Creek
-42.8,171.03333,Whites Creek
-45.1,168.43333,Whites Bay
-41.38333,174.06667,Whites Bay
-41.57389,175.40194,White Rock
-46.66667,167.8,White Rocks
-41.08333,174.35,White Rocks
-44.36667,170.93333,White Rock River
-46.7,167.91667,White Rock Point
-47.13333,168,White Rock
-42.95,171.45,White River
-45.93333,167.98333,White Range
-46.85,168.1,White Point
-45.08333,168.46667,White Point
-45.88333,167.25,White Peak
-39.01667,174.13333,Whiteley Reef
-42.18333,171.48333,White Knight
-45.93333,170.5,White Island
-37.51667,177.18333,White Island
-40.86667,172.66667,Whitehorn Creek
-45.8,170.4,White Hill
-45.76667,168.3,White Hill
-46.1,167.53333,White Hill
-46.66667,169.16667,White Head
-46.51667,169.7,White Head
